key,error
Hilty_James/Gobblers_Revenge_BASIC.3.dump.parquet,empty
Hilty_James/Gobblers_Revenge_BASIC.4.dump.parquet,empty
Hilty_James/Gobblers_Revenge_BASIC.5.dump.parquet,empty
Hilty_James/Gobblers_Revenge_BASIC.6.dump.parquet,empty
Hilty_James/Moonlight_Zone_BASIC.2.dump.parquet,empty
Hilty_James/Mouse_in_the_House_BASIC.3.dump.parquet,empty
Hoffmann_Michal/11_Non_Blondes_reharmonized_2SID.1.dump.parquet,empty
Hoffmann_Michal/Dubsteps_Passe_2SID.1.dump.parquet,empty
Hoffmann_Michal/Melanoma_Mood_2SID.1.dump.parquet,empty
Hoffmann_Michal/Nie_Ogolilem_Intencjonalnie_Rowa_2SID.1.dump.parquet,empty
Hoffmann_Michal/Respublika_Kazantip_2SID.1.dump.parquet,empty
Hoffmann_Michal/Songs_about_Poland_Sell_Records_2SID.1.dump.parquet,empty
Holt_Hein/SidKit_2SID.1.dump.parquet,empty
JCH/Voice_2SID.1.dump.parquet,empty
JVD/Double_2SID.1.dump.parquet,empty
Jammer/Antipop_2SID.1.dump.parquet,empty
Jammer/BBC_2SID.1.dump.parquet,empty
Jammer/Boileroom_2SID.1.dump.parquet,empty
Jammer/Crank_Powered_Async_Loader_2SID.1.dump.parquet,empty
Jammer/Crank_Powered_Async_Loader_V2_2SID.1.dump.parquet,empty
Jammer/Gliding_Gladly_2SID.1.dump.parquet,empty
Jammer/Light_Years_3SID.1.dump.parquet,empty
Jammer/Meat_Hook_2SID.1.dump.parquet,empty
Jammer/Melbourne_Shuffle_3SID.1.dump.parquet,empty
Jammer/Odyssey_2SID.1.dump.parquet,empty
Jammer/Stars_Are_Us_2SID.1.dump.parquet,empty
Jammer/Two_Times_Better_2SID.1.dump.parquet,empty
Jammer/Yet_Bigger_Beat_2SID.1.dump.parquet,empty
Jellica/16drumsteel13eight_2SID.1.dump.parquet,empty
Jellica/16eightspeedwomot_2SID.1.dump.parquet,empty
Jellica/7funk44vers2_2SID.1.dump.parquet,empty
Jellica/Balb_2SID.1.dump.parquet,empty
Jellica/Centre_Letters_Rmx_2SID.1.dump.parquet,empty
Jellica/Cpremizx8two_2SID.1.dump.parquet,empty
Jellica/Go8mis5x8_2SID.1.dump.parquet,empty
Jellica/Justx54_2SID.1.dump.parquet,empty
Jellica/Maybe_2SID.1.dump.parquet,empty
Jellica/Monotecarrrggggx3tempo2_2SID.1.dump.parquet,empty
Jellica/Penguin_Huddle_2SID.1.dump.parquet,empty
Jellica/Poppy2_2SID.1.dump.parquet,empty
Jellica/Talotoo_2SID.1.dump.parquet,empty
Jellica/Teilmins2_2SID.1.dump.parquet,empty
Jellica/Trape3_2SID.1.dump.parquet,empty
Jellica/Triboscusx1_2SID.1.dump.parquet,empty
Julian_Jaymz/Slanted_2SID.1.dump.parquet,empty
Julian_Jaymz/Square_Two_2SID.1.dump.parquet,empty
Kidd_Clark_and_Kathy/A-Maze-ing_BASIC.4.dump.parquet,empty
Kidd_Clark_and_Kathy/Alphabet_Soup_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Black_Hole_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Build_a_Quiz_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Build_a_Quiz_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Count_the_Spots_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Count_the_Spots_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Earthworms_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Earthworms_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Element_Man_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Element_Man_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Element_Man_BASIC.4.dump.parquet,empty
Kidd_Clark_and_Kathy/Get_the_Treasure_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Get_the_Treasure_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Heavenly_Bodies_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Ladybug_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Ladybug_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Lawn_Mower_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Matchmaker_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Mother_Earth_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Mother_Earth_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Movers_and_Shakers_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Mr_President_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Mr_President_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Notecrafter_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Skeleton_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Skeleton_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Skeleton_BASIC.4.dump.parquet,empty
Kidd_Clark_and_Kathy/Spelling_Bee_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Spelling_Bee_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Spend_your_Allowance_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Spend_your_Allowance_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Spend_your_Allowance_BASIC.4.dump.parquet,empty
Kidd_Clark_and_Kathy/Stargazer_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Stargazer_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/States_of_the_Union_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/States_of_the_Union_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Unicorn_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Wise_Shopper_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Wise_Shopper_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Word_Scramble_BASIC.2.dump.parquet,empty
Kidd_Clark_and_Kathy/Word_Scramble_BASIC.3.dump.parquet,empty
Kidd_Clark_and_Kathy/Word_Scramble_BASIC.4.dump.parquet,empty
Kordiaukis/Kordiaukis_01_2SID.1.dump.parquet,empty
Kozaki_Soft/Geigeriada_2SID.1.dump.parquet,empty
Kozaki_Soft/KnotCrafter_2SID.1.dump.parquet,empty
LMan/Blade_Runner_Main_Titles_2SID.1.dump.parquet,empty
LMan/Tuneful_Eight_tune_1_2SID.1.dump.parquet,empty
LMan/Tuneful_Eight_tune_2_2SID.1.dump.parquet,empty
LMan/Tuneful_Eight_tune_3_2SID.1.dump.parquet,empty
LMan/Tuneful_Eight_tune_4_2SID.1.dump.parquet,empty
Lft/Fratres_Arvo_Paert_2SID.2.dump.parquet,empty
Lft/Machine_Yearning_2SID.1.dump.parquet,empty
Lft/Machine_Yearning_2SID.2.dump.parquet,empty
Lft/Machine_Yearning_2SID.3.dump.parquet,empty
Lft/Machine_Yearning_2SID.4.dump.parquet,empty
Lft/Machine_Yearning_2SID.5.dump.parquet,empty
Lft/Machine_Yearning_2SID.6.dump.parquet,empty
Lft/Machine_Yearning_2SID.7.dump.parquet,empty
MCH/Acid_Storm_3SID.1.dump.parquet,empty
MCH/Monty_on_the_Run_D_n_B_edit_2SID.1.dump.parquet,empty
MCH/Mow_Mi_Aloes_2SID.1.dump.parquet,empty
MCH/Pee_Bottle_2SID.1.dump.parquet,empty
MCH/Technolooper_2SID.1.dump.parquet,empty
MCH/Winter_Rose_2SID.1.dump.parquet,empty
MCH/ZX_Clive_Tribute_2SID.1.dump.parquet,empty
M_O_T/Take_em_Out_stereo_2SID.1.dump.parquet,empty
M_O_T/Take_em_Out_stereo_2SID.2.dump.parquet,empty
Mac_TUGCS/Crystal_Creatures_stereo_remix_2SID.1.dump.parquet,empty
Mac_TUGCS/Crystal_Creatures_stereo_remix_2SID.2.dump.parquet,empty
Manganoid/Children_2SID.1.dump.parquet,empty
Manganoid/Die_Mensch_Maschine_2SID.1.dump.parquet,empty
Manganoid/Empires_Worlds_Goddesses_etc_2SID.1.dump.parquet,empty
Manganoid/For_Denise_2SID.1.dump.parquet,empty
Manganoid/Iza_horizonta_2SID.1.dump.parquet,empty
Manganoid/Mahadeva_2SID.1.dump.parquet,empty
Manganoid/Mystery_Cannon_2SID.1.dump.parquet,empty
Manganoid/Pianoesque_2SID.1.dump.parquet,empty
Manganoid/Pilfers-Climbing_2SID.1.dump.parquet,empty
Manganoid/Puffy_Poof_C64_2SID.1.dump.parquet,empty
Manganoid/Severance_2SID.1.dump.parquet,empty
