key,error
Manganoid/Sidji_do_reke_2SID.1.dump.parquet,empty
Manganoid/Sonic_Empire_2SID.1.dump.parquet,empty
Manganoid/Space_Raiders_2SID.1.dump.parquet,empty
Manganoid/Y_M_O_2SID.1.dump.parquet,empty
Manical/El_Diego_C64_remix_2SID.1.dump.parquet,empty
McBride_Peter/Paddingtons_Shopping_Mix-Up_Grocer_BASIC.4.dump.parquet,empty
MegaSparky/1981-1986_The_Casiopea_Years_2SID.1.dump.parquet,empty
Mermaid/Hyperdrive_Splorf_stereo_mix_2SID.1.dump.parquet,empty
Mibri/Best_Is_yet_to_Come_2SID.1.dump.parquet,empty
Mibri/Radio_Free_Truth_2SID.1.dump.parquet,empty
Moraff/Fence_Around_the_Emptiness_2SID.1.dump.parquet,empty
Moraff/Kuusamon_kiehinen_2SID.1.dump.parquet,empty
Moraff/Lintu_ja_lapsi_2SID.1.dump.parquet,empty
Moraff/Lintu_ja_lapsi_2SID.2.dump.parquet,empty
Moraff/Ocean_of_Silence_2SID.1.dump.parquet,empty
Moraff/Perplexity_of_Life_2SID.1.dump.parquet,empty
Moraff/Ripaskacha_in_Stereo_2SID.1.dump.parquet,empty
Moraff/Sydaen_ja_veri_2SID.1.dump.parquet,empty
MovieMovies1/Erika_To_Satoru_No_Yume_Bouken_2SID.1.dump.parquet,empty
MovieMovies1/Super_Mario_Bros_2SID.1.dump.parquet,empty
Mutetus/Do_Not_Eat_Throw_Away_2SID.1.dump.parquet,empty
Mythus/Wavesynth_2SID.1.dump.parquet,empty
Nata/Anthrox_2SID.1.dump.parquet,empty
Nata/Elav_Stereo_2SID.1.dump.parquet,empty
Nata/Hokuto_Stereo_2SID.1.dump.parquet,empty
Nata/Phobos_2SID.1.dump.parquet,empty
Nata/Renegade_420_2SID.1.dump.parquet,empty
Nobody/Hardtek_Jam_2SID.1.dump.parquet,empty
Nobody/Turn_it_Louder_2SID.1.dump.parquet,empty
Nordischsound/Bruno_Mars-Uptown_Funk_2SID.1.dump.parquet,empty
Nordischsound/Captain_Future_2SID.1.dump.parquet,empty
Nordischsound/DKC-Gang_Plank_Galleon_2SID.1.dump.parquet,empty
Nordischsound/Feels_Like_Summer_2SID.1.dump.parquet,empty
Nordischsound/Genius_NTSC_2SID.1.dump.parquet,empty
Nordischsound/Genius_PAL_2SID.1.dump.parquet,empty
Nordischsound/Get_Lucky_2SID.1.dump.parquet,empty
Nordischsound/Jump_2SID.1.dump.parquet,empty
Nordischsound/Oooaaaeee_2SID.1.dump.parquet,empty
Nordischsound/Steel_Drums_Calypso_2SID.1.dump.parquet,empty
Nordischsound/Terranigma-Overworld_2SID.1.dump.parquet,empty
Nordischsound/Weeknd-Blinding_Lights_2SID.1.dump.parquet,empty
Norman_Paul/Bowling_BASIC.3.dump.parquet,empty
Ocean/Analoque_2SID.1.dump.parquet,empty
Ocean/Get_Me_Eternal_2SID.1.dump.parquet,empty
PCH/Get_Up_and_Jump_2SID.1.dump.parquet,empty
PCH/Hard_Re_Start_2SID.1.dump.parquet,empty
PCH/Houpy_Houp_2SID.1.dump.parquet,empty
PCH/Just_One_Life_2SID.1.dump.parquet,empty
PCH/Waiting_for_the_Future_2SID.1.dump.parquet,empty
Page_Jason/R-Type_Amiga_to_2SID_2SID.1.dump.parquet,empty
Phobos/Double_Dragon_2SID.1.dump.parquet,empty
Phobos/Excalibur_2SID.1.dump.parquet,empty
Phobos/Nasze_Randez-Vous_Remix_2SID.1.dump.parquet,empty
Phobos/What_Is_Love_2SID.1.dump.parquet,empty
Proton/Airwolf_Theme_2SID.1.dump.parquet,empty
Proton/Cybernoid_2_The_Revenge_2SID.1.dump.parquet,empty
Proton/Deserted_Cities_2SID.1.dump.parquet,empty
Proton/Error-40_2SID.1.dump.parquet,empty
Proton/Galwaymulation_2SID.1.dump.parquet,empty
Proton/Le_Parc_Streethawk_theme_2SID.1.dump.parquet,empty
Proton/Mindwarped_2SID.1.dump.parquet,empty
Proton/Saunasolmuhumppa_2SID.1.dump.parquet,empty
Proton/X-Files_Theme_Remix_2SID.1.dump.parquet,empty
Proton/Zoids_2SID-Remake_2SID.1.dump.parquet,empty
Randy/Time_2SID.1.dump.parquet,empty
Rayden/4_Ever_Young_2SID.1.dump.parquet,empty
Rayden/Bamse_Bert_2SID.1.dump.parquet,empty
Rayden/Blue_Max_2SID.1.dump.parquet,empty
Rayden/DSR-FLT_Cracktroh_2SID.1.dump.parquet,empty
Rayden/Dark_Knight_2SID.1.dump.parquet,empty
Rayden/Disco_Zak_Remix_2SID.1.dump.parquet,empty
Rayden/Leprechaun_Boot_V1_2SID.1.dump.parquet,empty
Rayden/Leprechaun_Boot_V2_2SID.1.dump.parquet,empty
Rayden/Mc_Dieter_2SID.1.dump.parquet,empty
Rayden/Mopped_Tester_2SID.1.dump.parquet,empty
Rayden/Mythig_2SID.1.dump.parquet,empty
Rayden/Physician_Remake_2SID.1.dump.parquet,empty
Rayden/Popel_Premiere_Intr0h_2SID.1.dump.parquet,empty
Rayden/Somewhere_Over_the_6_Rainbows_2SID.1.dump.parquet,empty
Rayden/TrubbleLaBubble_2SID.1.dump.parquet,empty
Rayden/Zipped_out_2SID.1.dump.parquet,empty
Reynolds_Daryll/Case_of_the_Mad_Mummy_BASIC.7.dump.parquet,empty
Reynolds_Daryll/Case_of_the_Mad_Mummy_BASIC.8.dump.parquet,empty
Rosenfeldt_Harald/Honey_Pie_2SID.1.dump.parquet,empty
Rosenfeldt_Harald/Yesterday_2SID.1.dump.parquet,empty
SLO/Big_Secret_2SID.1.dump.parquet,empty
Scarzix/Auxillary_Love_2SID.1.dump.parquet,empty
Scarzix/Singularity_2SID.1.dump.parquet,empty
Sherman_Nick/Cold_Outside_2SID.1.dump.parquet,empty
Shogoon/A_Song_for_You_2SID.1.dump.parquet,empty
Shogoon/Be_Civil-A_Choral_of_Good_Manners_2SID.1.dump.parquet,empty
Shogoon/Cheezzy_Top_3SID.1.dump.parquet,empty
Shogoon/Cheezzy_Top_Fixed_3SID.1.dump.parquet,empty
Shogoon/Cowboys_Dream_2SID.1.dump.parquet,empty
Shogoon/Do_Nothing_for_3_Minutes_3SID.1.dump.parquet,empty
Shogoon/First_Chords_2SID.1.dump.parquet,empty
Shogoon/Joe_2SID.1.dump.parquet,empty
Shogoon/Lullaby_for_Teddy_Bear_2SID.1.dump.parquet,empty
Shogoon/Lullaby_of_the_Moment_2SID.1.dump.parquet,empty
Shogoon/Oum_Le_Dauphin_2SID.1.dump.parquet,empty
Shogoon/Prelude_and_Fugato_2SID.1.dump.parquet,empty
Shogoon/Raindropsies_2SID.1.dump.parquet,empty
Shogoon/Robin_2SID.1.dump.parquet,empty
Shogoon/To_Norah_2SID.1.dump.parquet,empty
Shogoon/Wild_West_Weekly_2SID.1.dump.parquet,empty
Shogoon/Zorro_2SID.1.dump.parquet,empty
Sidder/Boys_2SID.1.dump.parquet,empty
Sidder/X-Files_2SID.1.dump.parquet,empty
Slaxx/Keelhauled_2SID.1.dump.parquet,empty
Slaxx/Nordlicht_Express_2SID.1.dump.parquet,empty
Slimex/Snowfall_2SID.1.dump.parquet,empty
Spider_Jerusalem/Am_I_Melodic_2SID.1.dump.parquet,empty
Spider_Jerusalem/Canon_457_Study_2_2SID.1.dump.parquet,empty
Steel/Game_of_Thrones_2SID.1.dump.parquet,empty
Stepz/Silver_Clouds_2SID.1.dump.parquet,empty
Stepz/Thomas_the_Fragglesmurf_2SID.1.dump.parquet,empty
Stinsen/Guilty_Pleasures_2SID.1.dump.parquet,empty
Stinsen/Space_Monkeys_2SID.1.dump.parquet,empty
Stone_James/A_Final_Hyperbase_2SID.1.dump.parquet,empty
Stone_James/Dawn_of_the_Oval_Hordes_2SID.1.dump.parquet,empty
Surgeon/Cow_Anus_Fucked_2SID.1.dump.parquet,empty
