key,chips,raw_first_irq,raw_top_irq,raw_top_share,raw_distinct_irqs,parser_detected_irq,raw_in_bounds,parser_in_bounds,detected_zero,parser_disagrees_with_raw,near_lower_bound,near_upper_bound
2NY/2NY_01.1.dump.parquet,1,0,19592,0.0073,502,19656,1,1,0,1,0,0
2NY/Heavy-Beat.1.dump.parquet,1,0,5217547,0.0001,89760,18582,0,1,0,1,0,0
2NY/Plague_part_3.1.dump.parquet,1,0,20147336,0.0007,3108,19656,0,1,0,1,0,0
4-Mat/AY_Tester.1.dump.parquet,1,0,15135056,0.001,2318,19656,0,1,0,1,0,0
4-Mat/All_in_the_Past.1.dump.parquet,1,0,104569856,0.0011,6672,19656,0,1,0,1,0,0
4-Mat/And_Again.1.dump.parquet,1,0,67380704,0.0008,3510,19656,0,1,0,1,0,0
4-Mat/Back_to_Blue.1.dump.parquet,1,0,82260296,0.0003,9472,19656,0,1,0,1,0,0
4-Mat/Backlog_tune_7.1.dump.parquet,1,0,39248,0.0003,6326,19656,0,1,0,1,0,1
4-Mat/Bad_Scene_Poetry.1.dump.parquet,1,0,110486312,0.0006,5812,19656,0,1,0,1,0,0
4-Mat/Bad_Scene_Poets_Are_Back_25_percent.1.dump.parquet,1,0,50103080,0.0006,4502,19656,0,1,0,1,0,0
4-Mat/Bad_Scene_Poets_Are_Back_part_1.1.dump.parquet,1,0,46171880,0.0007,3557,19656,0,1,0,1,0,0
4-Mat/Bad_Scene_Poets_Are_Back_part_2.1.dump.parquet,1,0,25257896,0.0005,4661,19656,0,1,0,1,0,0
4-Mat/Best_Intro_Ever.1.dump.parquet,1,0,137528,0.0005,6567,19656,0,1,0,1,0,0
4-Mat/Bit_Like_Johannes.1.dump.parquet,1,0,51655904,0.0007,3372,19656,0,1,0,1,0,0
4-Mat/Bleep_Bloop.1.dump.parquet,1,0,176840,0.0014,1591,19656,0,1,0,1,0,0
4-Mat/Boing.1.dump.parquet,1,0,39248,0.0007,3159,19656,0,1,0,1,0,1
4-Mat/Boing.2.dump.parquet,1,0,44383184,0.0011,2255,19656,0,1,0,1,0,0
4-Mat/Chipsynth_C64_Demo.1.dump.parquet,1,0,78781184,0.0003,8496,19656,0,1,0,1,0,0
4-Mat/Co-Axis_Remix.1.dump.parquet,1,0,91852424,0.0002,14247,19656,0,1,0,1,0,0
4-Mat/Co-Axis_Remix.2.dump.parquet,1,0,266102864,0.0002,13140,19656,0,1,0,1,0,0
4-Mat/Co-Axis_Remix.3.dump.parquet,1,0,5700176,0.0018,1007,19656,0,1,0,1,0,0
